timestamp,size_bytes,seq,send_ms,channel,dest
2026-02-16T15:54:10,200,329,1771253649753,0,
2026-02-16T15:54:12,200,330,1771253651756,0,
2026-02-16T15:54:14,205,331,1771253653758,0,
2026-02-16T15:54:17,205,332,1771253655762,0,
2026-02-16T15:54:19,205,333,1771253658265,0,
2026-02-16T15:54:21,205,334,1771253660768,0,
2026-02-16T15:54:23,205,335,1771253662770,0,
2026-02-16T15:54:25,205,336,1771253664773,0,
2026-02-16T15:54:29,205,337,1771253666776,0,
2026-02-16T15:54:47,205,338,1771253670780,0,
2026-02-16T15:54:49,205,339,1771253688795,0,
2026-02-16T15:54:51,205,340,1771253690797,0,
2026-02-16T15:54:55,210,341,1771253692800,0,
2026-02-16T15:54:58,210,342,1771253696805,0,
2026-02-16T15:55:00,210,343,1771253699309,0,
2026-02-16T15:55:02,210,344,1771253701311,0,
2026-02-16T15:55:04,210,345,1771253703314,0,
2026-02-16T15:55:15,210,346,1771253705316,0,
2026-02-16T15:55:18,210,347,1771253716826,0,
2026-02-16T15:55:20,210,348,1771253719329,0,
2026-02-16T15:55:23,210,349,1771253721833,0,
2026-02-16T15:55:28,210,350,1771253724837,0,
2026-02-16T15:55:30,215,351,1771253729342,0,
2026-02-16T15:55:33,215,352,1771253731844,0,
2026-02-16T15:55:40,215,353,1771253734347,0,
2026-02-16T15:55:45,215,354,1771253741854,0,
2026-02-16T15:55:48,215,355,1771253746857,0,
2026-02-16T15:55:51,215,356,1771253749860,0,
2026-02-16T15:55:54,215,357,1771253752363,0,
2026-02-16T15:55:56,215,358,1771253755368,0,
2026-02-16T15:55:58,215,359,1771253757371,0,
2026-02-16T15:56:00,215,360,1771253759373,0,
2026-02-16T15:56:02,220,361,1771253761376,0,
2026-02-16T15:56:07,220,362,1771253763379,0,
2026-02-16T15:56:11,220,363,1771253768884,0,
2026-02-16T15:56:14,220,364,1771253772388,0,
2026-02-16T15:56:17,220,365,1771253775892,0,
2026-02-16T15:56:22,220,366,1771253778396,0,
2026-02-16T15:56:25,220,367,1771253783403,0,
2026-02-16T15:56:28,220,368,1771253786406,0,
2026-02-16T15:56:30,220,369,1771253789409,0,
2026-02-16T15:56:34,220,370,1771253791911,0,
2026-02-16T15:56:36,225,371,1771253795914,0,
2026-02-16T15:56:38,225,372,1771253797917,0,
2026-02-16T15:56:44,225,373,1771253799920,0,
2026-02-16T15:56:46,225,374,1771253805426,0,
2026-02-16T15:56:48,225,375,1771253807428,0,
2026-02-16T15:56:50,225,376,1771253809430,0,
2026-02-16T15:56:55,225,377,1771253811433,0,
2026-02-16T15:56:58,225,378,1771253816938,0,
2026-02-16T15:57:04,225,379,1771253819442,0,
2026-02-16T15:57:06,225,380,1771253825949,0,
2026-02-16T15:57:08,230,381,1771253827951,0,
2026-02-16T15:57:10,230,382,1771253829954,0,
2026-02-16T15:57:20,230,383,1771253831956,0,
2026-02-16T15:57:22,230,384,1771253841467,0,
2026-02-16T15:57:24,230,385,1771253843469,0,
2026-02-16T15:57:26,230,386,1771253845472,0,
2026-02-16T15:57:28,230,387,1771253847474,0,
2026-02-16T15:57:31,230,388,1771253849477,0,
2026-02-16T15:57:33,230,389,1771253852480,0,
2026-02-16T15:57:36,230,390,1771253854983,0,
